arch,val_acc,num_params,train_time,score
"{""layers"": [{""type"": ""Dense"", ""units"": 256}, {""type"": ""Dropout"", ""rate"": 0.2}, {""type"": ""Dropout"", ""rate"": 0.2}, {""type"": ""Conv2D"", ""filters"": 64, ""kernel"": 5}, {""type"": ""Dense"", ""units"": 10}], ""hparams"": {""learning_rate"": 0.001, ""optimizer"": ""adam"", ""batch_size"": 64}}",0.97,203530,35.08181142807007,0.76647
"{""layers"": [{""type"": ""Dropout"", ""rate"": 0.2}, {""type"": ""Conv2D"", ""filters"": 32, ""kernel"": 3}, {""type"": ""Conv2D"", ""filters"": 32, ""kernel"": 3}, {""type"": ""Dense"", ""units"": 10}], ""hparams"": {""learning_rate"": 0.001, ""optimizer"": ""adam"", ""batch_size"": 64}}",0.9833333333333333,260458,81.15585494041443,0.6810433333333333
"{""layers"": [{""type"": ""Dense"", ""units"": 64}, {""type"": ""MaxPool2D"", ""pool_size"": 2}, {""type"": ""Conv2D"", ""filters"": 64, ""kernel"": 5}, {""type"": ""Dropout"", ""rate"": 0.3}, {""type"": ""Dense"", ""units"": 10}], ""hparams"": {""learning_rate"": 0.001, ""optimizer"": ""adam"", ""batch_size"": 64}}",0.9575,50890,33.36665987968445,0.90661
"{""layers"": [{""type"": ""Dropout"", ""rate"": 0.5}, {""type"": ""MaxPool2D"", ""pool_size"": 2}, {""type"": ""Dense"", ""units"": 10}], ""hparams"": {""learning_rate"": 0.001, ""optimizer"": ""adam"", ""batch_size"": 64}}",0.7649166666666667,1970,32.62202787399292,0.7629466666666667
